stocks,first_lower,second_lower,third_lower,first_higher,second_higher,third_higher,close_data
JUBLFOOD,652.35,643.1,586.95,715.45,918.0,,703.9
RAMCOCEM,893.85,884.25,827.7,953.0,1058.2,1060.0,917.5
LTTS,5295.0,4652.05,4318.7,5873.35,5955.5,6000.0,5449.35
UPL,599.55,596.65,582.75,650.9,656.35,729.0,603.75
ASTRAL,1438.35,1403.4,1318.45,1740.0,1773.0,1829.9,1507.3
IPCALAB,1383.1,1374.6,1230.0,1708.65,,,1443.3
DALBHARAT,1651.4,1476.05,1212.5,1873.3,1982.95,2288.8,1866.35
MFSL,1092.0,1080.7,1067.5,1148.05,1306.45,,1115.75
AARTIIND,438.0,334.0,,445.0,482.4,483.2,444.7
MANAPPURAM,194.8,187.25,185.0,218.0,224.5,230.4,196.03
BERGEPAINT,453.0,439.3,439.0,497.5,533.1,591.9,472.75
PVRINOX,1045.0,988.35,705.35,1204.2,1224.05,1247.9,1090.5
CHAMBLFERT,484.95,451.0,443.2,516.0,551.95,574.35,504.1
METROPOLIS,1791.2,1519.95,1318.05,1848.0,2109.0,2318.3,1796.9
TRENT,1566.0,1346.85,1209.95,8345.0,,,5753.2
AUBANK,567.5,553.7,548.0,609.0,630.4,677.2,600.95
LALPATHLAB,2767.1,2750.0,2394.7,3285.1,3399.3,3653.95,2853.05
LTIM,5510.0,5360.0,5046.0,6442.0,6574.95,6767.95,5914.15
BATAINDIA,1269.0,1263.6,1213.8,1381.05,1464.4,1607.45,1296.8
INFY,1733.0,1718.0,1672.6,1953.9,2006.45,,1879.8
COFORGE,6847.45,6135.0,6030.0,10026.8,,,8263.85
SUNPHARMA,1638.85,1377.2,1169.7,1960.35,,,1743.95
HCLTECH,1697.35,1377.75,1359.4,,,,1725.45
LUPIN,1986.0,1493.3,1267.65,2312.0,,,2080.45
RELIANCE,1201.5,1129.2,1110.15,1311.3,1313.0,1359.3,1265.1
ICICIBANK,1008.7,958.2,899.0,1350.45,1362.35,,1252.8
INDHOTEL,506.45,436.45,371.6,894.9,,,764.7
GRASIM,2171.6,1922.15,1832.2,2833.0,2877.75,,2508.85
SYNGENE,700.0,683.0,671.15,774.0,860.25,945.25,746.65
CUB,167.8,150.2,150.0,183.95,187.9,189.7,173.72
TORNTPHARM,3052.0,2094.55,1772.05,3590.7,,,3269.1
TCS,4043.0,3989.9,3913.25,4254.75,4494.9,4592.25,4112.4
CROMPTON,327.95,319.5,312.0,350.35,354.4,429.0,343.4
JKCEMENT,4599.95,4575.0,3891.45,4895.5,,,4834.85
INDUSINDBK,990.0,816.0,811.5,1119.5,1242.0,1273.55,991.2
SHREECEM,27049.0,26340.0,25725.05,28683.2,30737.75,31469.95,27795.9
FEDERALBNK,166.35,148.0,143.4,206.59,217.0,,187.21
SBILIFE,1340.35,1330.0,1307.7,1569.4,1936.0,,1483.6
TITAN,3106.0,3055.65,2791.0,3867.0,3886.95,,3490.25
COROMANDEL,1789.0,1545.65,1271.55,,,,1809.55
MPHASIS,2782.6,2497.0,2235.0,3187.8,3237.95,3604.75,2867.95
ICICIPRULI,615.6,608.75,537.9,640.85,724.3,796.8,616.0
ONGC,231.15,217.65,184.75,336.75,,,262.61
BHARTIARTL,1511.0,860.55,781.8,1779.0,,,1626.3
BIOCON,314.8,303.0,279.9,363.25,370.15,395.8,362.55
IOC,86.45,79.35,75.7,140.8,185.97,189.8,128.49
IDFCFIRSTB,62.0,59.3,53.5,64.3,69.3,75.05,63.24
PAGEIND,43570.0,42885.0,39757.95,45600.0,46737.7,49849.95,44723.55
WIPRO,284.3,267.65,229.15,356.3,362.7,,311.9
HINDALCO,551.85,504.0,496.35,620.5,636.0,715.25,594.3
TATASTEEL,131.4,120.7,111.0,135.05,142.35,149.85,134.62
OFSS,4905.0,4288.45,3184.95,12619.0,13220.0,,9122.05
AMBUJACEM,481.15,453.05,442.5,518.35,598.0,706.95,512.8
ACC,1900.0,1803.0,1592.35,2104.0,2150.0,2397.0,2007.65
HEROMOTOCO,4168.15,3529.05,3294.9,4849.05,5894.55,6246.25,4232.95
PERSISTENT,4450.0,3232.05,2567.5,6788.9,,,6032.6
ABBOTINDIA,25200.0,24744.25,23934.45,29638.95,30521.0,,26173.3
HDFCLIFE,620.6,617.45,605.9,647.6,656.0,657.1,638.05
TVSMOTOR,2313.45,1873.0,1176.9,2958.0,,,2457.9
TATACOMM,1591.95,1585.55,1543.4,1957.35,2084.65,2175.0,1633.0
TATACONSUM,1016.25,882.9,878.1,1247.1,1253.4,,1024.65
ITC,425.5,402.85,399.35,481.45,499.7,528.5,447.5
BPCL,256.6,234.0,230.5,333.5,376.0,,261.1
BSOFT,501.6,380.0,334.7,564.6,585.85,624.35,534.6
ATUL,6122.05,5445.0,5174.85,6466.75,7019.75,7225.0,6285.7
NESTLEIND,2145.0,2105.0,2060.9,2327.45,2339.55,2409.1,2313.2
TECHM,1388.3,1292.0,1137.0,1807.7,1810.0,,1674.45
LT,3262.55,3175.05,2297.65,3919.9,3963.5,,3567.4
LAURUSLABS,471.0,444.7,440.0,605.5,626.3,723.75,584.05
PIIND,3441.05,3271.05,3220.0,3534.9,3698.45,3920.0,3483.75
AXISBANK,970.0,866.9,816.2,995.7,1151.85,1339.65,986.1
EXIDEIND,290.35,241.7,219.3,534.4,620.35,,374.5
LTF,144.6,140.2,124.65,179.0,189.45,194.25,145.47
EICHERMOT,5105.0,4508.75,4200.0,,,,5194.3
ADANIENT,2142.0,2025.0,1717.2,2420.95,2722.4,2733.95,2287.8
CANFINHOME,619.9,519.0,518.25,678.05,680.0,685.0,667.7
HDFCAMC,3415.55,3365.0,3358.9,4066.5,4864.0,,3869.9
ULTRACEMCO,10526.0,9250.0,8269.0,12138.0,12145.35,,11487.45
HINDUNILVR,2456.95,2442.9,2428.1,2614.3,2669.4,2741.6,2468.8
GODREJPROP,1769.0,1572.25,1529.95,2598.0,3402.7,,2329.45
INDUSTOWER,332.8,315.5,296.5,460.35,,,347.2
KOTAKBANK,1740.0,1721.0,1688.4,1926.5,1942.0,1951.75,1901.3
PETRONET,266.75,261.35,246.4,377.2,,,316.2
PEL,974.7,924.3,736.6,1101.0,1139.95,1275.0,1023.1
PNB,92.4,62.0,48.2,104.2,111.13,142.9,101.2
MUTHOOTFIN,2078.75,1756.05,1721.95,,,,2258.8
RBLBANK,156.1,155.6,131.6,169.65,189.3,217.7,164.77
HINDPETRO,215.55,187.0,185.6,385.55,457.15,,358.25
LICHSGFIN,544.8,533.95,478.9,826.75,,,598.1
HINDCOPPER,231.0,196.75,159.4,277.9,353.0,415.8,238.98
ASHOKLEY,186.55,184.65,164.5,264.65,,,216.83
BALKRISIND,2753.05,2723.8,2450.0,2795.5,3375.0,,2771.25
ABFRL,250.0,223.7,221.3,281.4,318.7,322.0,273.85
BANDHANBNK,,,,152.2,169.15,182.15,151.38
SAIL,103.65,93.9,84.35,112.35,124.8,151.3,107.43
ICICIGI,1739.8,1675.0,1626.45,2301.9,,,1858.5
BAJAJFINSV,1725.0,1664.9,1551.65,1741.0,1748.0,1844.0,1736.1
DIVISLAB,5425.1,4640.8,4074.4,6285.45,,,5577.7
UBL,1908.0,1810.0,1806.45,2182.45,2204.9,,2146.0
M&MFIN,265.7,254.3,239.9,340.25,343.0,,284.95
OBEROIRLTY,1585.55,1088.95,1051.9,1953.05,2343.65,,1812.65
ADANIPORTS,995.65,987.85,924.65,1160.6,1621.4,,1099.35
DLF,687.05,463.05,449.7,929.0,967.6,,745.05
NAUKRI,7465.4,5880.0,5250.0,,,,7723.7
AUROPHARMA,1063.9,1023.7,967.5,1177.1,1592.0,,1171.9
ESCORTS,3440.15,3102.0,2648.4,4409.55,4420.0,,3623.45
MRF,98599.95,96000.0,87550.0,116347.85,143849.9,151445.0,113632.5
GRANULES,480.45,437.95,404.8,628.0,721.0,,556.35
CIPLA,1403.0,1317.25,1277.9,1519.0,1702.05,,1479.4
COALINDIA,395.05,232.4,216.9,471.85,527.8,,395.9
SRF,2773.35,2693.95,2636.0,2865.0,,,2809.85
CHOLAFIN,1168.0,1011.2,997.25,1310.0,1652.0,,1285.85
DRREDDY,1197.95,1122.9,1120.0,1301.2,1421.5,,1217.35
ZYDUSLIFE,673.7,668.75,567.75,1324.3,,,970.25
IEX,173.35,163.75,159.11,192.0,244.4,251.5,174.6
DEEPAKNTR,2282.1,2035.1,2021.0,2356.6,2372.7,2521.15,2325.6
SUNTV,612.0,586.55,570.4,734.9,921.0,,618.85
APOLLOHOSP,6594.15,5935.4,5693.2,6874.45,,,6810.5
PIDILITIND,2796.0,2764.7,2735.0,2918.95,3415.0,,2871.7
SBICARD,765.0,695.55,678.9,817.4,883.0,918.75,778.2
UNITDSPR,1019.95,951.8,944.0,1647.5,,,1424.0
IDEA,8.8,7.75,6.61,10.1,10.95,11.75,9.05
BAJFINANCE,7830.0,7824.0,7778.0,7999.9,8045.0,8050.0,7885.1
POWERGRID,182.7,175.3,149.65,366.25,,,301.65
JINDALSTEL,722.8,622.75,581.6,1097.0,,,791.55
BANKBARODA,212.05,189.6,138.9,228.85,266.95,278.0,213.39
TATACHEM,960.05,935.0,933.0,993.05,1050.3,1069.95,986.1
JSWSTEEL,895.75,840.0,823.8,1063.0,,,945.0
MGL,1284.4,1257.0,1246.2,1580.0,1988.0,,1379.85
MARUTI,11561.45,10725.0,9769.0,13073.95,13680.0,,12310.65
ABCAPITAL,162.45,155.0,139.7,199.3,244.0,246.9,179.39
SHRIRAMFIN,438.6,339.3,307.0,730.45,,,543.75
CANBK,92.98,65.13,51.33,125.68,,,93.27
ALKEM,4407.05,4243.0,4070.0,5520.0,5578.8,6439.9,5063.05
HAVELLS,1504.45,1465.85,1405.55,1985.4,2106.0,,1566.2
DABUR,525.0,517.0,504.1,552.55,575.5,576.85,529.85
BAJAJ-AUTO,4541.0,4361.4,4347.0,12774.0,,,8847.8
CONCOR,754.4,748.0,718.0,828.75,880.7,1180.0,780.1
INDIGO,3780.0,2745.1,2380.0,5035.0,,,4324.35
APOLLOTYRE,429.0,365.0,303.35,440.9,441.65,557.0,437.3
DIXON,6243.6,4735.0,4690.0,19148.9,,,14985.95
SBIN,731.95,629.55,621.9,875.45,912.0,,772.9
TATAMOTORS,665.4,536.7,494.4,855.4,1065.6,1179.0,716.1
VEDL,398.75,343.9,298.75,475.75,523.65,526.95,441.4
INDIAMART,2043.5,1980.0,1838.0,2230.0,2393.35,2457.5,2066.4
RECLTD,408.3,126.65,125.85,524.0,573.3,654.0,449.85
BHARATFORG,1148.05,1063.0,919.45,1330.0,1804.5,,1224.05
ASIANPAINT,1916.7,1431.2,,2560.0,2599.35,2670.1,2300.8
HDFCBANK,1641.0,1532.05,1460.25,1702.4,1721.4,1722.1,1698.75
GUJGASLTD,478.05,442.5,442.0,490.0,526.0,533.3,486.0
GNFC,486.5,485.5,471.7,573.75,580.15,620.1,554.45
COLPAL,1823.4,1695.95,1676.0,3890.0,,,2821.55
NATIONALUM,147.15,132.7,127.95,262.99,,,202.24
IRCTC,774.9,758.0,557.1,845.3,862.75,1049.0,822.3
PFC,351.7,123.0,112.4,426.55,477.8,523.9,422.5
POLYCAB,5733.0,3801.0,2820.0,7331.45,7605.0,,6037.95
IGL,198.6,187.85,182.05,203.5,211.5,226.0,201.8
VOLTAS,1132.0,1125.0,955.0,1347.65,1356.9,1944.9,1260.85
NTPC,313.95,182.95,182.2,448.45,,,324.0
BEL,257.45,147.15,114.65,320.85,340.5,,292.65
CUMMINSIND,1980.15,1653.3,1162.0,4171.9,,,2914.05
MARICO,607.7,595.0,579.6,719.85,,,670.65
SIEMENS,4068.85,3246.0,3138.5,6502.75,7968.7,8129.9,6073.35
GLENMARK,880.0,771.0,722.1,1830.95,,,1453.2
NMDC,63.45,41.07,31.72,68.3,82.83,95.45,66.1
GODREJCP,1102.05,1055.05,959.8,1138.0,1140.05,1314.3,1121.25
BHEL,91.55,80.35,79.55,210.7,224.05,335.35,208.09
ABB,4678.0,4340.3,3850.0,8940.6,9149.95,,5874.65
TATAPOWER,298.05,276.5,267.85,371.65,464.2,494.85,364.5
NAVINFLUOR,3979.45,3847.7,3764.8,4212.75,4329.0,4724.25,4148.7
GAIL,167.18,106.14,104.74,237.33,,,170.67
HAL,1767.8,1405.9,1150.0,4755.0,5674.75,,3936.8
MCX,4270.0,2917.85,2135.0,7048.6,,,5732.95
BOSCHLTD,27500.0,19990.0,19250.0,36678.0,39088.8,,28729.15
MOTHERSON,118.7,103.4,91.65,153.75,162.75,216.99,141.26
BRITANNIA,4669.2,4663.8,4641.0,5270.35,5386.05,6469.9,5129.65
